Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	DMSO_1_1 Spectral Count	DMSO_1_2 Spectral Count	DMSO_1_3 Spectral Count	DMSO_1_4 Spectral Count	DMSO_1_5 Spectral Count	DMSO_1_6 Spectral Count	DMSO_4_1 Spectral Count	DMSO_4_2 Spectral Count	DMSO_4_3 Spectral Count	DMSO_4_4 Spectral Count	DMSO_4_5 Spectral Count	DMSO_4_6 Spectral Count	DMSO_6_1 Spectral Count	DMSO_6_2 Spectral Count	DMSO_6_3 Spectral Count	DMSO_6_4 Spectral Count	DMSO_6_5 Spectral Count	DMSO_6_6 Spectral Count	brigatinib_1 Spectral Count	brigatinib_10 Spectral Count	brigatinib_100 Spectral Count	brigatinib_1000 Spectral Count	brigatinib_10000 Spectral Count	dabrafenib_1 Spectral Count	dabrafenib_10 Spectral Count	dabrafenib_100 Spectral Count	dabrafenib_1000 Spectral Count	dabrafenib_10000 Spectral Count	methotrexate_1 Spectral Count	methotrexate_10 Spectral Count	methotrexate_100 Spectral Count	methotrexate_1000 Spectral Count	methotrexate_10000 Spectral Count	DMSO_1_1 Unique Spectral Count	DMSO_1_2 Unique Spectral Count	DMSO_1_3 Unique Spectral Count	DMSO_1_4 Unique Spectral Count	DMSO_1_5 Unique Spectral Count	DMSO_1_6 Unique Spectral Count	DMSO_4_1 Unique Spectral Count	DMSO_4_2 Unique Spectral Count	DMSO_4_3 Unique Spectral Count	DMSO_4_4 Unique Spectral Count	DMSO_4_5 Unique Spectral Count	DMSO_4_6 Unique Spectral Count	DMSO_6_1 Unique Spectral Count	DMSO_6_2 Unique Spectral Count	DMSO_6_3 Unique Spectral Count	DMSO_6_4 Unique Spectral Count	DMSO_6_5 Unique Spectral Count	DMSO_6_6 Unique Spectral Count	brigatinib_1 Unique Spectral Count	brigatinib_10 Unique Spectral Count	brigatinib_100 Unique Spectral Count	brigatinib_1000 Unique Spectral Count	brigatinib_10000 Unique Spectral Count	dabrafenib_1 Unique Spectral Count	dabrafenib_10 Unique Spectral Count	dabrafenib_100 Unique Spectral Count	dabrafenib_1000 Unique Spectral Count	dabrafenib_10000 Unique Spectral Count	methotrexate_1 Unique Spectral Count	methotrexate_10 Unique Spectral Count	methotrexate_100 Unique Spectral Count	methotrexate_1000 Unique Spectral Count	methotrexate_10000 Unique Spectral Count	DMSO_1_1 Total Spectral Count	DMSO_1_2 Total Spectral Count	DMSO_1_3 Total Spectral Count	DMSO_1_4 Total Spectral Count	DMSO_1_5 Total Spectral Count	DMSO_1_6 Total Spectral Count	DMSO_4_1 Total Spectral Count	DMSO_4_2 Total Spectral Count	DMSO_4_3 Total Spectral Count	DMSO_4_4 Total Spectral Count	DMSO_4_5 Total Spectral Count	DMSO_4_6 Total Spectral Count	DMSO_6_1 Total Spectral Count	DMSO_6_2 Total Spectral Count	DMSO_6_3 Total Spectral Count	DMSO_6_4 Total Spectral Count	DMSO_6_5 Total Spectral Count	DMSO_6_6 Total Spectral Count	brigatinib_1 Total Spectral Count	brigatinib_10 Total Spectral Count	brigatinib_100 Total Spectral Count	brigatinib_1000 Total Spectral Count	brigatinib_10000 Total Spectral Count	dabrafenib_1 Total Spectral Count	dabrafenib_10 Total Spectral Count	dabrafenib_100 Total Spectral Count	dabrafenib_1000 Total Spectral Count	dabrafenib_10000 Total Spectral Count	methotrexate_1 Total Spectral Count	methotrexate_10 Total Spectral Count	methotrexate_100 Total Spectral Count	methotrexate_1000 Total Spectral Count	methotrexate_10000 Total Spectral Count	DMSO_1_1 Intensity	DMSO_1_2 Intensity	DMSO_1_3 Intensity	DMSO_1_4 Intensity	DMSO_1_5 Intensity	DMSO_1_6 Intensity	DMSO_4_1 Intensity	DMSO_4_2 Intensity	DMSO_4_3 Intensity	DMSO_4_4 Intensity	DMSO_4_5 Intensity	DMSO_4_6 Intensity	DMSO_6_1 Intensity	DMSO_6_2 Intensity	DMSO_6_3 Intensity	DMSO_6_4 Intensity	DMSO_6_5 Intensity	DMSO_6_6 Intensity	brigatinib_1 Intensity	brigatinib_10 Intensity	brigatinib_100 Intensity	brigatinib_1000 Intensity	brigatinib_10000 Intensity	dabrafenib_1 Intensity	dabrafenib_10 Intensity	dabrafenib_100 Intensity	dabrafenib_1000 Intensity	dabrafenib_10000 Intensity	methotrexate_1 Intensity	methotrexate_10 Intensity	methotrexate_100 Intensity	methotrexate_1000 Intensity	methotrexate_10000 Intensity	DMSO_1_1 MaxLFQ Intensity	DMSO_1_2 MaxLFQ Intensity	DMSO_1_3 MaxLFQ Intensity	DMSO_1_4 MaxLFQ Intensity	DMSO_1_5 MaxLFQ Intensity	DMSO_1_6 MaxLFQ Intensity	DMSO_4_1 MaxLFQ Intensity	DMSO_4_2 MaxLFQ Intensity	DMSO_4_3 MaxLFQ Intensity	DMSO_4_4 MaxLFQ Intensity	DMSO_4_5 MaxLFQ Intensity	DMSO_4_6 MaxLFQ Intensity	DMSO_6_1 MaxLFQ Intensity	DMSO_6_2 MaxLFQ Intensity	DMSO_6_3 MaxLFQ Intensity	DMSO_6_4 MaxLFQ Intensity	DMSO_6_5 MaxLFQ Intensity	DMSO_6_6 MaxLFQ Intensity	brigatinib_1 MaxLFQ Intensity	brigatinib_10 MaxLFQ Intensity	brigatinib_100 MaxLFQ Intensity	brigatinib_1000 MaxLFQ Intensity	brigatinib_10000 MaxLFQ Intensity	dabrafenib_1 MaxLFQ Intensity	dabrafenib_10 MaxLFQ Intensity	dabrafenib_100 MaxLFQ Intensity	dabrafenib_1000 MaxLFQ Intensity	dabrafenib_10000 MaxLFQ Intensity	methotrexate_1 MaxLFQ Intensity	methotrexate_10 MaxLFQ Intensity	methotrexate_100 MaxLFQ Intensity	methotrexate_1000 MaxLFQ Intensity	methotrexate_10000 MaxLFQ Intensity	Indistinguishable Proteins
sp|P49458|SRP09_HUMAN	P49458	SRP09_HUMAN	SRP9	86	Homo sapiens	1:Experimental evidence at protein level	Signal recognition particle 9 kDa protein	1	0.999	3	70	28	70	1	3	2	2	2	1	2	3	2	4	1	2	2	2	2	3	1	2	2	2	3	3	2	2	2	2	1	2	2	2	4	2	2	0	1	0	1	1	0	1	2	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	2	1	1	1	3	2	2	2	1	2	3	2	4	1	2	2	2	2	3	1	2	2	2	3	3	2	2	2	2	1	2	2	2	4	2	2	6.63E+07	9.13E+07	5.74E+07	7.38E+07	7.66E+07	5.46E+07	1.81E+08	2.15E+08	2.18E+08	1.88E+08	2.37E+08	2.01E+08	2.56E+08	2.46E+08	2.94E+08	3.10E+08	1.57E+08	2.85E+08	2.89E+08	2.87E+08	3.20E+08	2.51E+08	2.35E+08	6.15E+07	5.95E+07	5.62E+07	5.26E+07	4.79E+07	3.55E+08	3.18E+08	4.76E+08	4.10E+08	3.36E+08	6.63E+07	1.07E+08	5.74E+07	1.01E+08	9.84E+07	5.46E+07	1.12E+08	2.37E+08	1.09E+08	8.78E+07	1.27E+08	1.16E+08	3.54E+08	3.09E+08	4.11E+08	4.14E+08	8.95E+07	3.18E+08	3.31E+08	3.97E+08	3.12E+08	2.78E+08	2.36E+08	8.25E+07	5.50E+07	5.90E+07	5.19E+07	6.56E+07	2.65E+08	2.67E+08	2.73E+08	2.02E+08	1.63E+08	
sp|P49459|UBE2A_HUMAN	P49459	UBE2A_HUMAN	UBE2A	152	Homo sapiens	1:Experimental evidence at protein level	Ubiquitin-conjugating enzyme E2 A	0.9994	0.999	2	90	26	90	3	3	2	3	4	3	4	1	3	2	6	3	4	3	3	2	2	3	3	4	3	3	0	3	1	2	4	3	2	3	1	1	3	1	1	1	1	1	1	2	1	0	0	3	1	1	0	1	0	0	1	1	1	1	1	0	1	0	1	1	1	0	1	1	0	0	3	3	2	3	4	3	4	1	3	2	6	3	4	3	3	2	2	3	3	4	3	3	0	3	1	2	4	3	2	3	1	1	3	5.76E+07	4.74E+07	5.20E+07	5.15E+07	4.54E+07	4.75E+07	3.49E+07	8524010	2.60E+07	2.45E+07	4.49E+08	3.66E+07	3.06E+07	2.97E+07	2.41E+07	2.76E+07	2.70E+07	4.29E+07	4.67E+07	4.71E+07	4.19E+07	3.26E+07	8111829	5.27E+07	1.77E+07	5.75E+07	4.74E+07	4.35E+07	1.56E+07	3.13E+07	3386876.8	1.56E+07	3.03E+07	2.42E+07	2.10E+07	1.98E+07	2.47E+07	1.93E+07	1.90E+07	2.03E+07	1.03E+07	2.27E+07	1.96E+07	3.62E+07	1.87E+07	1.52E+07	2.60E+07	1.25E+07	2.38E+07	1.49E+07	2.40E+07	2.67E+07	2.57E+07	2.48E+07	1.87E+07	6986914	2.04E+07	1.25E+07	2.18E+07	1.71E+07	1.79E+07	1.27E+07	1.76E+07	4074699	1.19E+07	2.47E+07	
sp|P49585|PCY1A_HUMAN	P49585	PCY1A_HUMAN	PCYT1A	367	Homo sapiens	1:Experimental evidence at protein level	Choline-phosphate cytidylyltransferase A	1	0.999	5	124	50	124	3	3	4	3	4	3	4	4	5	4	4	6	5	2	3	4	4	3	4	4	4	4	4	4	3	4	4	4	4	3	3	3	4	1	1	2	1	2	1	1	2	2	2	2	3	2	0	1	2	1	0	1	1	1	2	1	2	2	2	2	1	2	2	2	1	2	3	3	4	3	4	3	4	4	5	4	4	6	5	2	3	4	4	3	4	4	4	4	4	4	3	4	4	4	4	3	3	3	4	9.53E+07	1.25E+08	9.85E+07	4.38E+07	1.41E+08	9.42E+07	7.81E+07	8.02E+07	5.26E+07	7.91E+07	8.96E+07	8.55E+07	5.60E+07	4.84E+07	4.77E+07	8.68E+07	6.57E+07	6.06E+07	5.48E+07	5.79E+07	5.59E+07	5.64E+07	7.22E+07	1.07E+08	8.89E+07	9.05E+07	1.03E+08	4.87E+07	6.74E+07	6.67E+07	6.53E+07	4.32E+07	8.23E+07	5.36E+07	4.90E+07	4.83E+07	4.88E+07	5.10E+07	5.06E+07	4.07E+07	3.90E+07	2.66E+07	3.67E+07	4.12E+07	4.16E+07	2.77E+07	2.50E+07	2.40E+07	3.02E+07	3.33E+07	2.93E+07	2.96E+07	2.90E+07	2.88E+07	2.79E+07	3.90E+07	4.94E+07	4.53E+07	4.40E+07	5.26E+07	5.36E+07	3.25E+07	2.71E+07	3.41E+07	3.28E+07	2.88E+07	
sp|P49588|SYAC_HUMAN	P49588	SYAC_HUMAN	AARS1	968	Homo sapiens	1:Experimental evidence at protein level	"Alanine--tRNA ligase, cytoplasmic"	1	0.999	29	925	34	925	26	27	27	27	26	28	26	26	24	30	28	29	32	29	28	30	33	32	30	32	33	32	34	27	28	25	28	28	22	24	25	27	22	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	26	27	27	27	26	28	26	26	24	30	28	29	32	29	28	30	33	32	30	32	33	32	34	27	28	25	28	28	22	24	25	27	22	3.99E+09	4.04E+09	4.31E+09	3.99E+09	3.84E+09	4.39E+09	3.50E+09	3.72E+09	2.43E+09	4.40E+09	3.75E+09	4.97E+09	4.97E+09	4.77E+09	4.63E+09	3.82E+09	4.11E+09	4.09E+09	4.23E+09	4.23E+09	4.69E+09	5.03E+09	5.91E+09	4.16E+09	4.27E+09	3.99E+09	5.77E+09	5.50E+09	3.19E+09	3.35E+09	4.30E+09	3.57E+09	3.99E+09	1.54E+09	1.56E+09	1.63E+09	1.45E+09	1.47E+09	1.59E+09	1.58E+09	1.45E+09	1.47E+09	1.57E+09	1.56E+09	1.62E+09	1.60E+09	1.64E+09	1.58E+09	1.61E+09	1.52E+09	1.60E+09	1.68E+09	1.72E+09	1.68E+09	1.86E+09	2.15E+09	1.53E+09	1.58E+09	1.64E+09	2.00E+09	2.04E+09	1.33E+09	1.39E+09	1.42E+09	1.40E+09	1.47E+09	
sp|P49589-2|SYCC_HUMAN	P49589-2	SYCC_HUMAN	CARS1	726	Homo sapiens		"Isoform 2 of Cysteine--tRNA ligase, cytoplasmic"	0.9998	0.999	29	26	26	788	1	1	0	0	0	0	1	1	2	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	0	2	1	1	0	0	0	0	1	1	2	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	0	2	24	20	22	20	22	21	25	25	25	26	25	23	23	22	24	25	25	27	25	26	27	26	28	19	25	25	25	22	25	24	21	22	24	6749980	8483808	0	5691754.5	5848922	5821761.5	8438035	8906602	9095092	1.83E+07	7181178	6948650	8330661.5	5283485.5	8328396	5007750.5	6576700	7872471.5	7537388.5	5998687.5	7097602.5	9379246	1.00E+07	3216075.5	2364359.2	0	8006311.5	5251935	9835377	6229852.5	4195463.5	4084648.2	7686304.5	6749980	8483808	0	5691754.5	5848922	5821761.5	8438035	8906602	9095092	1.83E+07	7181178	6948650	8330661.5	5283485.5	8328396	5007750.5	6576700	7872471.5	7537388.5	5998687.5	7097602.5	9379246	1.00E+07	3216075.5	2364359.2	0	8006311.5	5251935	9835377	6229852.5	4195463.5	4084648.2	7686304.5	
sp|P49589-3|SYCC_HUMAN	P49589-3	SYCC_HUMAN	CARS1	831	Homo sapiens		"Isoform 3 of Cysteine--tRNA ligase, cytoplasmic"	1	0.999	32	865	56	865	26	22	24	22	26	25	27	27	28	27	27	26	24	24	25	28	27	30	26	28	29	28	30	21	27	29	29	25	28	27	24	24	25	2	2	1	1	2	2	1	2	3	1	1	1	1	2	1	3	2	2	1	1	2	2	2	1	2	2	3	2	2	2	2	1	1	26	22	24	22	26	25	27	27	28	27	27	26	24	24	25	28	27	30	26	28	29	28	30	21	27	29	29	25	28	27	24	24	25	8.56E+08	8.92E+08	8.84E+08	1.10E+09	1.08E+09	8.74E+08	1.27E+09	1.08E+09	1.13E+09	1.21E+09	1.27E+09	1.19E+09	9.34E+08	1.18E+09	8.56E+08	1.28E+09	1.12E+09	1.23E+09	1.22E+09	1.12E+09	1.19E+09	1.05E+09	1.52E+09	9.02E+08	9.00E+08	9.57E+08	1.59E+09	1.25E+09	1.14E+09	1.14E+09	1.05E+09	1.06E+09	1.15E+09	1.78E+08	1.84E+08	1.88E+08	1.76E+08	1.84E+08	1.81E+08	2.03E+08	1.92E+08	1.88E+08	2.08E+08	2.10E+08	1.95E+08	1.98E+08	1.98E+08	1.84E+08	2.11E+08	1.85E+08	1.98E+08	2.02E+08	1.96E+08	2.03E+08	2.21E+08	2.74E+08	1.81E+08	1.76E+08	1.91E+08	2.55E+08	2.49E+08	1.83E+08	1.91E+08	1.79E+08	1.81E+08	1.91E+08	
sp|P49590|SYHM_HUMAN	P49590	SYHM_HUMAN	HARS2	506	Homo sapiens	1:Experimental evidence at protein level	"Histidine--tRNA ligase, mitochondrial"	1	0.999	6	124	1	142	4	4	4	3	3	3	2	3	3	5	4	5	4	4	3	3	3	5	4	4	4	4	4	3	5	5	4	5	4	3	3	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	4	4	3	3	3	2	3	3	5	5	5	5	5	4	4	4	6	5	5	5	5	5	3	5	5	4	5	6	4	4	5	4	6.90E+07	7.99E+07	7.24E+07	7.74E+07	7.77E+07	6.34E+07	1.29E+08	1.06E+08	6.76E+07	9.40E+07	1.11E+08	7.28E+07	6.18E+07	6.79E+07	5.85E+07	6.52E+07	6.65E+07	6.25E+07	6.17E+07	6.69E+07	5.78E+07	7.82E+07	8.90E+07	6.99E+07	6.42E+07	6.74E+07	6.87E+07	7.44E+07	6.73E+07	6.81E+07	6.85E+07	8.15E+07	1.29E+08	2.62E+07	3.09E+07	2.77E+07	2.93E+07	2.97E+07	2.42E+07	2.87E+07	2.34E+07	2.54E+07	2.74E+07	2.59E+07	2.64E+07	2.35E+07	2.52E+07	2.27E+07	2.42E+07	2.54E+07	2.44E+07	2.44E+07	2.61E+07	2.21E+07	3.04E+07	3.54E+07	2.67E+07	2.46E+07	2.59E+07	2.60E+07	2.83E+07	2.51E+07	2.53E+07	2.49E+07	3.07E+07	3.02E+07	
sp|P49591|SYSC_HUMAN	P49591	SYSC_HUMAN	SARS1	514	Homo sapiens	1:Experimental evidence at protein level	"Serine--tRNA ligase, cytoplasmic"	1	0.999	25	619	619	619	17	17	14	18	16	16	20	16	18	17	18	21	23	21	22	23	20	23	21	24	22	24	20	15	14	19	20	15	17	17	18	16	17	17	17	14	18	16	16	20	16	18	17	18	21	23	21	22	23	20	23	21	24	22	24	20	15	14	19	20	15	17	17	18	16	17	17	17	14	18	16	16	20	16	18	17	18	21	23	21	22	23	20	23	21	24	22	24	20	15	14	19	20	15	17	17	18	16	17	1.99E+09	2.02E+09	1.88E+09	2.02E+09	1.76E+09	1.97E+09	2.71E+09	2.13E+09	2.13E+09	2.35E+09	2.50E+09	2.37E+09	3.10E+09	2.79E+09	2.90E+09	2.98E+09	2.89E+09	3.03E+09	3.14E+09	3.03E+09	3.24E+09	3.21E+09	4.18E+09	1.68E+09	2.02E+09	2.04E+09	2.53E+09	2.30E+09	2.79E+09	2.74E+09	2.52E+09	2.81E+09	2.80E+09	4.02E+08	4.09E+08	3.82E+08	3.68E+08	4.41E+08	3.79E+08	4.66E+08	3.81E+08	3.89E+08	4.63E+08	4.42E+08	4.17E+08	4.63E+08	4.21E+08	4.30E+08	4.29E+08	4.31E+08	4.61E+08	5.03E+08	4.70E+08	4.76E+08	4.69E+08	6.00E+08	4.28E+08	4.05E+08	4.11E+08	4.50E+08	4.78E+08	4.75E+08	4.49E+08	4.50E+08	4.48E+08	4.48E+08	
sp|P49593|PPM1F_HUMAN	P49593	PPM1F_HUMAN	PPM1F	454	Homo sapiens	1:Experimental evidence at protein level	Protein phosphatase 1F	1	0.999	11	230	45	230	6	7	8	6	6	8	9	6	6	9	9	6	8	7	6	6	5	8	9	7	7	9	9	6	7	7	8	7	8	6	4	5	5	1	1	1	0	1	1	1	1	1	1	1	1	2	2	2	2	2	2	3	2	2	2	3	1	1	1	1	1	1	1	1	1	1	6	7	8	6	6	8	9	6	6	9	9	6	8	7	6	6	5	8	9	7	7	9	9	6	7	7	8	7	8	6	4	5	5	2.84E+08	2.86E+08	3.71E+08	3.54E+08	2.78E+08	3.96E+08	3.61E+08	2.35E+08	2.67E+08	2.92E+08	3.26E+08	3.07E+08	2.50E+08	2.65E+08	2.62E+08	2.68E+08	2.89E+08	2.71E+08	2.70E+08	2.73E+08	2.53E+08	2.93E+08	2.70E+08	2.80E+08	2.64E+08	2.80E+08	3.88E+08	3.07E+08	2.56E+08	2.13E+08	2.12E+08	2.27E+08	2.35E+08	9.40E+07	1.00E+08	9.86E+07	9.32E+07	9.00E+07	1.01E+08	9.60E+07	7.71E+07	7.64E+07	7.89E+07	9.10E+07	9.39E+07	6.02E+07	6.23E+07	5.69E+07	6.09E+07	6.30E+07	5.88E+07	5.66E+07	5.90E+07	5.66E+07	6.39E+07	6.72E+07	9.82E+07	9.00E+07	9.61E+07	9.94E+07	1.05E+08	5.84E+07	6.53E+07	6.05E+07	6.45E+07	6.78E+07	
sp|P49641|MA2A2_HUMAN	P49641	MA2A2_HUMAN	MAN2A2	1150	Homo sapiens	2:Experimental evidence at transcript level	Alpha-mannosidase 2x	1	0.999	4	9	1	10	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	1	1548508	5537804.5	1705428.5	5981789.5	6387136.5	6850632	1998515.8	1443091.5	1639753.4	1927614.1	2220984.5	2520191.8	5330936	5429824	5768624.5	3522903.8	5944181.5	5127755.5	5262117.5	4798808	5472895.5	5510576.5	4380011.5	9173561	8151917	3006894	1357862	7793944	1133819	1690007	1335061.5	2209931	2433802	1948757.1	2918312.8	2146237.5	2566780.2	2317550.5	2622345.5	2515080.2	1816093.1	2063587	2425852.2	2795051.2	3171595.8	5330936	5429824	5768624.5	3522903.8	5944181.5	5127755.5	5262117.5	4798808	5472895.5	5510576.5	4380011.5	3679693.2	3225446.2	3784098	1708834	2972176.5	1426881.8	2126830	1680140.2	2781140.8	3062876.5	
sp|P49642|PRI1_HUMAN	P49642	PRI1_HUMAN	PRIM1	420	Homo sapiens	1:Experimental evidence at protein level	DNA primase small subunit	1	0.999	8	141	141	141	4	4	5	4	5	4	5	3	3	4	5	3	5	6	4	3	5	4	5	5	5	4	6	3	5	4	4	5	3	3	4	4	5	4	4	5	4	5	4	5	3	3	4	5	3	5	6	4	3	5	4	5	5	5	4	6	3	5	4	4	5	3	3	4	4	5	4	4	5	4	5	4	5	3	3	4	5	3	5	6	4	3	5	4	5	5	5	4	6	3	5	4	4	5	3	3	4	4	5	1.39E+08	1.27E+08	1.41E+08	1.22E+08	1.40E+08	1.47E+08	9.60E+07	9.88E+07	8.10E+07	1.01E+08	1.08E+08	1.03E+08	9.00E+07	9.71E+07	7.51E+07	8.25E+07	1.06E+08	9.43E+07	9.18E+07	8.09E+07	8.06E+07	7.00E+07	7.37E+07	1.50E+08	1.47E+08	1.46E+08	1.39E+08	1.41E+08	6.29E+07	8.15E+07	9.55E+07	7.03E+07	9.66E+07	7.25E+07	7.31E+07	7.10E+07	6.53E+07	7.28E+07	7.59E+07	5.42E+07	5.51E+07	5.43E+07	5.95E+07	5.66E+07	5.59E+07	3.84E+07	4.36E+07	3.43E+07	4.18E+07	5.04E+07	3.71E+07	3.76E+07	3.40E+07	3.68E+07	3.58E+07	2.86E+07	7.58E+07	7.50E+07	7.07E+07	7.32E+07	7.12E+07	3.83E+07	4.43E+07	5.56E+07	5.45E+07	5.64E+07	
sp|P49643|PRI2_HUMAN	P49643	PRI2_HUMAN	PRIM2	509	Homo sapiens	1:Experimental evidence at protein level	DNA primase large subunit	1	0.999	10	212	159	212	7	7	5	6	7	7	6	6	7	8	8	8	7	8	5	7	7	8	6	6	7	5	6	6	5	5	6	6	5	5	6	7	7	5	6	4	5	5	6	4	4	6	6	6	6	5	6	4	5	5	6	4	4	5	4	4	4	4	4	5	5	4	4	4	5	5	7	7	5	6	7	7	6	6	7	8	8	8	7	8	5	7	7	8	6	6	7	5	6	6	5	5	6	6	5	5	6	7	7	1.22E+08	9.11E+07	9.91E+07	9.83E+07	1.01E+08	8.89E+07	1.15E+08	1.46E+08	1.21E+08	1.53E+08	1.41E+08	1.52E+08	1.11E+08	1.46E+08	1.05E+08	1.42E+08	1.45E+08	1.31E+08	1.31E+08	1.44E+08	1.29E+08	8.53E+07	9.91E+07	8.90E+07	7.84E+07	8.50E+07	8.26E+07	7.84E+07	9.12E+07	1.01E+08	1.13E+08	1.27E+08	1.46E+08	3.14E+07	3.03E+07	2.89E+07	2.93E+07	2.57E+07	3.08E+07	2.77E+07	3.41E+07	3.05E+07	3.11E+07	2.98E+07	3.17E+07	2.51E+07	3.22E+07	3.02E+07	3.14E+07	3.11E+07	2.95E+07	2.85E+07	3.19E+07	2.66E+07	3.02E+07	2.08E+07	2.41E+07	2.36E+07	2.74E+07	2.84E+07	2.67E+07	2.59E+07	2.49E+07	2.63E+07	2.94E+07	2.79E+07	
sp|P49674|KC1E_HUMAN	P49674	KC1E_HUMAN	CSNK1E	416	Homo sapiens	1:Experimental evidence at protein level	Casein kinase I isoform epsilon	1	0.999	12	206	116	206	6	5	6	6	6	9	5	3	5	6	5	4	7	9	7	7	7	9	8	6	7	7	7	6	5	7	6	5	7	5	6	6	6	4	2	2	4	4	5	3	3	3	6	3	3	4	4	4	4	4	4	4	4	4	4	4	4	2	3	3	4	3	2	3	3	3	6	5	6	6	6	9	5	3	5	6	5	4	7	9	7	7	7	9	8	6	7	7	7	6	5	7	6	5	7	5	6	6	6	8.32E+07	1.28E+08	1.27E+08	1.12E+08	1.24E+08	1.34E+08	1.12E+08	6.49E+07	1.06E+08	9.84E+07	7.51E+07	7.46E+07	1.29E+08	1.46E+08	1.55E+08	1.53E+08	1.46E+08	1.57E+08	1.45E+08	1.43E+08	1.51E+08	1.23E+08	1.30E+08	1.31E+08	1.01E+08	1.39E+08	9.78E+07	9.40E+07	1.44E+08	1.53E+08	9.59E+07	9.91E+07	1.05E+08	2.66E+07	3.31E+07	3.26E+07	3.43E+07	3.35E+07	3.14E+07	3.41E+07	2.98E+07	3.48E+07	3.38E+07	3.17E+07	3.11E+07	4.12E+07	4.38E+07	4.43E+07	4.44E+07	4.37E+07	4.45E+07	4.15E+07	4.28E+07	4.27E+07	3.93E+07	3.79E+07	3.25E+07	2.91E+07	3.47E+07	3.15E+07	2.91E+07	4.03E+07	4.09E+07	3.08E+07	3.10E+07	3.18E+07	
sp|P49711|CTCF_HUMAN	P49711	CTCF_HUMAN	CTCF	727	Homo sapiens	1:Experimental evidence at protein level	Transcriptional repressor CTCF	1	0.999	24	709	283	709	21	22	19	20	18	18	26	25	24	25	20	21	23	20	23	20	24	24	22	25	25	23	19	14	20	16	20	17	27	22	23	23	20	8	9	7	9	7	6	12	11	12	11	8	8	10	6	11	6	10	10	8	10	12	9	7	5	6	4	9	5	12	9	9	10	7	21	22	19	20	18	18	26	25	24	25	20	21	23	20	23	20	24	24	22	25	25	23	19	14	20	16	20	17	27	22	23	23	20	6.00E+08	7.65E+08	4.97E+08	7.13E+08	5.95E+08	5.97E+08	7.69E+08	7.91E+08	7.78E+08	7.84E+08	7.72E+08	7.34E+08	7.41E+08	7.43E+08	7.09E+08	7.76E+08	8.43E+08	6.98E+08	7.28E+08	7.53E+08	7.11E+08	7.33E+08	7.37E+08	5.73E+08	5.79E+08	5.89E+08	5.63E+08	5.79E+08	7.86E+08	7.59E+08	7.27E+08	7.62E+08	7.59E+08	1.24E+08	1.31E+08	1.07E+08	1.34E+08	1.17E+08	1.23E+08	1.59E+08	1.64E+08	1.63E+08	1.59E+08	1.61E+08	1.51E+08	1.71E+08	1.77E+08	1.63E+08	1.73E+08	1.69E+08	1.64E+08	1.68E+08	1.76E+08	1.66E+08	1.74E+08	1.66E+08	1.10E+08	1.18E+08	1.19E+08	1.16E+08	1.15E+08	1.77E+08	1.62E+08	1.52E+08	1.52E+08	1.51E+08	
